acc_no,acc_name,office_id,type_id,is_budget,active,currency_id
700100,"B. Telepon, Facsimile",All,BY,true,true,
700101,B. Pulsa HP,All,BY,true,true,
700102,B. Internetrue,All,BY,true,true,
700103,B. "Bahan Bakar (BBM) & Parkir, Karcis Tol",All,BY,false,true,
700200,B. Listrik,All,BY,true,true,
700201,B. Air Minum,All,BY,true,true,
700202,B. Rumah Tangga Kantor,All,BY,true,true,
700300,B. Sewa Kantor,All,BY,true,true,
700400,B. Alat Tulis Kantor,All,BY,true,true,
700401,B. Materai,All,BY,true,true,
700402,"B. Pos, Kurir",All,BY,true,true,
700403,Biaya Pengiriman,All,BY,true,true,IDR
700404,Biaya Percetakan dan Foto copy,All,BY,true,true,IDR
700500,B. Perawatan Kantor,All,BY,true,true,IDR
700501,B. Perawatan Perlengkapan Kantor,All,BY,true,true,
700502,B. Perawatan Peralatan Kantor,All,BY,true,true,
700503,B. Perawatan Sistim & Komputer,All,BY,true,true,
700504,B. Pemeliharaan Kendaraan,All,BY,false,true,
700505,B. Pemeliharaan Gedung Kantor,All,BY,false,true,
700506,Biaya Pajak Bumi dan Bangunan,All,BY,true,true,IDR
700507,Biaya Pajak Reklame,All,BY,true,true,IDR
700508,Biaya Pajak Kendaraan Bermotor,All,BY,true,true,IDR
700509,Biaya Pajak Pengalihan Tanah,All,BY,true,true,IDR
700510,Biaya Sewa Bangunan,All,BY,true,true,IDR
700511,Biaya Sewa Kendaraan,All,BY,true,true,IDR
700512,Biaya Sewa Inventaris Kantor,All,BY,true,true,IDR
700520,Biaya Asuransi Bangunan,All,BY,true,true,IDR
700521,Biaya Asuransi Cash In Save,All,BY,true,true,IDR
700522,Biaya Asuransi Kendaraan Bermotor,All,BY,true,true,IDR
700523,Biaya Asuransi Inventaris Kantor,All,BY,true,true,IDR
700524,Biaya Asuransi Jiwa dan Kesehatan,All,BY,true,true,IDR
700530,Biaya Keperluan Kantor Lainnya,All,BY,true,true,IDR
700531,Biaya Kecelakaan / Santunan Kematian,All,BY,true,true,IDR
700532,Biaya Pakaian Dinas,All,BY,true,true,IDR
700533,Biaya Resep dan Obat-obatan,All,BY,true,true,IDR
700534,Biaya Potongan Card,All,BY,true,true,IDR
700535,Biaya Rekrutment Pegawai,All,BY,true,true,IDR
700536,Biaya Konsultan Hukum dan Notaris,All,BY,true,true,IDR
700537,Biaya Konsultan Manajemen,All,BY,true,true,IDR
700538,"Biaya Zakatrue, Infaq dan Sadekah (ZIS)",All,BY,true,true,IDR
700539,Biaya Pembulatan Kas,All,BY,true,true,IDR
700540,Biaya Rapatrue,All,BY,true,true,IDR
700541,Biaya Kantor Lainnya,All,BY,true,true,IDR
700542,Selisih Kas,All,BY,true,true,IDR
700543,Biaya Handling Haji,All,BY,true,true,IDR
700544,Biaya Handling Tour Domestik,All,BY,true,true,IDR
700545,Biaya Handling Tour Internasional,All,BY,true,true,IDR
700546,Biaya Handling Umroh,All,BY,true,true,IDR
700547,Biaya Manasik Umroh & Haji,All,BY,true,true,IDR
700548,Biaya Travel Visa,All,BY,true,true,IDR
700549,Biaya Penjualan Dokumen,All,BY,true,true,IDR
700550,Biaya Operasional Umroh,All,BY,true,true,IDR
700551,Biaya Fee Tour Leader Umroh,All,BY,true,true,IDR
700552,Biaya Perlengkapan Umroh,All,BY,true,true,IDR
700553,Biaya Tiket Group Umroh,All,BY,true,true,IDR
700554,Biaya Hotel Group Umroh,All,BY,true,true,IDR
700555,Biaya Operasional Haji Plus,All,BY,false,true,IDR
